DATE,BAMLHY,ln_BAMLHY,lnr_BAMLHY
12/23/1998,10.45,2.346601978,0.001915709
12/24/1998,10.45,2.346601978,0
12/28/1998,10.42,2.343727036,-0.002874942
12/29/1998,10.41,2.342766883,-0.000960154
12/30/1998,10.39,2.340843805,-0.001923078
12/31/1998,10.53,2.354228326,0.013384521
1/4/1999,10.51,2.352327185,-0.001901141
1/5/1999,10.51,2.352327185,0
1/6/1999,10.48,2.349468679,-0.002858506
1/7/1999,10.49,2.350422422,0.000953744
1/8/1999,10.47,2.348514025,-0.001908398
1/11/1999,10.49,2.350422422,0.001908398
1/12/1999,10.47,2.348514025,-0.001908398
1/13/1999,10.54,2.355177543,0.006663518
1/14/1999,10.52,2.353278207,-0.001899336
1/15/1999,10.53,2.354228326,0.000950119
1/18/1999,10.53,2.354228326,0
1/19/1999,10.49,2.350422422,-0.003805904
1/20/1999,10.47,2.348514025,-0.001908398
1/21/1999,10.45,2.346601978,-0.001912046
1/22/1999,10.45,2.346601978,0
1/25/1999,10.43,2.344686269,-0.001915709
1/26/1999,10.43,2.344686269,0
1/27/1999,10.41,2.342766883,-0.001919386
1/28/1999,10.39,2.340843805,-0.001923078
1/29/1999,10.38,2.339880878,-0.000962927
1/31/1999,10.44,2.345644582,0.005763705
2/1/1999,10.46,2.347558459,0.001913876
2/2/1999,10.49,2.350422422,0.002863964
2/3/1999,10.5,2.351375257,0.000952835
2/4/1999,10.5,2.351375257,0
2/5/1999,10.51,2.352327185,0.000951928
2/8/1999,10.5,2.351375257,-0.000951928
2/9/1999,10.49,2.350422422,-0.000952835
2/10/1999,10.49,2.350422422,0
2/11/1999,10.48,2.349468679,-0.000953744
2/12/1999,10.52,2.353278207,0.003809528
2/15/1999,10.5,2.351375257,-0.00190295
2/16/1999,10.5,2.351375257,0
2/17/1999,10.5,2.351375257,0
2/18/1999,10.51,2.352327185,0.000951928
2/19/1999,10.53,2.354228326,0.001901141
2/22/1999,10.55,2.35612586,0.001897534
2/23/1999,10.59,2.35991016,0.0037843
2/24/1999,10.61,2.361796953,0.001886793
2/25/1999,10.7,2.370243741,0.008446789
2/26/1999,10.7,2.370243741,0
2/28/1999,10.69,2.369308725,-0.000935016
3/1/1999,10.74,2.373975089,0.004666364
3/2/1999,10.76,2.375835555,0.001860466
3/3/1999,10.81,2.380471632,0.004636077
3/4/1999,10.82,2.381396273,0.000924642
3/5/1999,10.81,2.380471632,-0.000924642
3/8/1999,10.82,2.381396273,0.000924642
3/9/1999,10.77,2.376764491,-0.004631782
3/10/1999,10.74,2.373975089,-0.002789402
3/11/1999,10.73,2.373043557,-0.000931532
3/12/1999,10.7,2.370243741,-0.002799815
3/15/1999,10.69,2.369308725,-0.000935016
3/16/1999,10.67,2.367436065,-0.00187266
3/17/1999,10.67,2.367436065,0
3/18/1999,10.65,2.365559892,-0.001876173
3/19/1999,10.64,2.364620484,-0.000939408
3/22/1999,10.65,2.365559892,0.000939408
3/23/1999,10.66,2.366498419,0.000938527
3/24/1999,10.63,2.363680192,-0.002818226
3/25/1999,10.64,2.364620484,0.000940292
3/26/1999,10.63,2.363680192,-0.000940292
3/29/1999,10.65,2.365559892,0.0018797
3/30/1999,10.63,2.363680192,-0.0018797
3/31/1999,10.63,2.363680192,0
4/1/1999,10.62,2.362739016,-0.000941177
4/2/1999,10.6,2.360854001,-0.001885015
4/5/1999,10.59,2.35991016,-0.000943842
4/6/1999,10.54,2.355177543,-0.004732617
4/7/1999,10.49,2.350422422,-0.004755121
4/8/1999,10.44,2.345644582,-0.00477784
4/9/1999,10.43,2.344686269,-0.000958313
4/12/1999,10.41,2.342766883,-0.001919386
4/13/1999,10.4,2.341805806,-0.000961076
4/14/1999,10.38,2.339880878,-0.001924928
4/15/1999,10.36,2.337952237,-0.001928641
4/16/1999,10.37,2.338917022,0.000964785
4/19/1999,10.36,2.337952237,-0.000964785
4/20/1999,10.36,2.337952237,0
4/21/1999,10.35,2.33698652,-0.000965717
4/22/1999,10.36,2.337952237,0.000965717
4/23/1999,10.35,2.33698652,-0.000965717
4/26/1999,10.35,2.33698652,0
4/27/1999,10.34,2.336019869,-0.000966651
4/28/1999,10.34,2.336019869,0
4/29/1999,10.34,2.336019869,0
4/30/1999,10.23,2.32532458,-0.010695289
5/3/1999,10.2,2.32238772,-0.00293686
